PCB names,FreeRouting,,,,PcbRouter,,,,RL-MCTS,,,,Original solution,,,
,Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second)
1-Wire-Wing-pcb_1-Wire_Wing,Yes,507.5431282,2,10.21,Yes,410.74087248116894,16,17.0,No,,,,Yes,521.5492074038782,15,N/A
16x12-bits-I2C_I2C_Servo,Yes,1063.7861003568873,6,43.43,Yes,964.9359007100254,30,33.0,No,,,,Yes,1124.9385786651383,18,N/A
1Bitsy_1bitsy,No,,,,No,,,,No,,,,Yes,1093.765,65,N/A
2d_conduction_sk9822-matrix,Yes,2994.5414975895287,1,2441.3,No,,,,No,,,,Yes,3022.7523064937673,13,N/A
4-port-usb-hub_4port-usb-hub,Yes,1094.1131777271958,7,67.49,No,,,,No,,,,Yes,1212.5666440068494,10,N/A
4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,Yes,207.7658408,0,1.01,Yes,196.84851979869634,3,1.0,No,,,,Yes,225.04557808153785,0,N/A
4_digit_hex_display_4_digit_display,No,,,,Yes,1315.1738679790842,134,28.0,No,,,,Yes,1651.161749363283,65,N/A
59pct_keyboard,Yes,7552.6877229077145,48,534.38,Yes,7423.048431021867,171,548.0,No,,,,Yes,7657.783891763042,53,N/A
655_testboard,Yes,958.0805754,14,107.81,Yes,894.9874632234312,49,18.0,No,,,,Yes,1080.4679886876745,72,N/A
6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,Yes,265.0459636403393,0,1.85,Yes,254.2182993292557,2,1.0,No,,,,Yes,286.6851848012319,0,N/A
6volt-5W-solar-cc_6vleadacidsolar,Yes,874.2178673,5,98.86,Yes,735.0716610572655,41,9.0,No,,,,Yes,936.4856099753742,29,N/A
74Logic_SA_ADC_SA-ADC,No,,,,No,,,,No,,,,Yes,4909.366170018643,247,N/A
8088_sbc2_pcb_8088_sbc2,Yes,8768.090036897935,41,71.44,No,,,,No,,,,Yes,9562.344480598344,207,N/A
96boards-robomezzi_96boards-robomezzi,No,,,,No,,,,No,,,,Yes,2880.145665818869,82,N/A
96boards-sensors_Sensors,Yes,3744.8659,72,1725.99,No,,,,No,,,,Yes,3697.4037849485962,114,N/A
ABOVISP_ABOVISP,Yes,211.8013799,1,4.69,Yes,181.40823945689075,11,1.0,No,,,,Yes,208.4997456894675,8,N/A
ADC-DAC-16bit_ADC-DAC-16bit,Yes,221.9284108,2,6.1,No,,,,No,,,,Yes,217.95154407063876,6,N/A
ADC-PCM4202-SE_ADC-PCM4202-SE,Yes,2753.2885920423355,8,805.24,No,,,,No,,,,Yes,2729.0109861723577,24,N/A
ADC-PCM4202_ADC-PCM4202,Yes,2758.5702973006355,18,1566.94,No,,,,No,,,,Yes,2796.5435914886584,28,N/A
APC_AtariPunkConsole,Yes,460.6638401,0,2.93,No,,,,No,,,,Yes,549.047575406346,4,N/A
APM-RPi-Shield_APM-RPi-Shield,No,,,,Yes,1305.483079606548,82,88.0,No,,,,Yes,1397.4286248271421,12,N/A
AS5043-Encoder_sensor-board,Yes,257.6348674,1,4.41,Yes,230.1907477388669,10,47.0,No,,,,Yes,251.19626793794492,2,N/A
ATMEGA328-Motor-Board_ATMEGA328_Motor_Board,No,,,,No,,,,No,,,,Yes,5568.02650186227,136,N/A
ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,Yes,1121.4884505217055,1,6.380000000000001,Yes,1061.7498980590951,16,10.0,No,,,,Yes,1186.9886441509443,8,N/A
ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,Yes,6731.124614376425,17,910.63,Yes,6368.72428370528,178,361.0,No,,,,Yes,7901.709951798972,67,N/A
ATtiny461Breakout_ATTiny461DevBoard,Yes,324.3120357,0,2.89,Yes,290.81689332871656,16,2.0,No,,,,Yes,314.59578691574654,8,N/A
AVR-ISP_level-shifter_AVR-ISP_level-shifter,Yes,361.2467224645671,0,3.25,Yes,352.581508813713,13,2.0,No,,,,Yes,454.9243341332811,10,N/A
AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,Yes,53.10307677,0,1.58,Yes,48.3506168964261,9,0.1,No,,,,Yes,54.007637569162,0,N/A
AVR-Playground_hello_world,Yes,134.5766351,0,0.55,Yes,134.75971273368054,0,3.0,No,,,,Yes,162.34818536117692,0,N/A
AVR-ZIF-Programmer_AVR-ZIF-Prog,Yes,1506.451377,0,20.67,Yes,1352.3435560383798,18,19.0,No,,,,Yes,1490.0114363077748,0,N/A
Aleste-520EX_aleste,No,,,,No,,,,No,,,,Yes,57005.55384572761,1041,N/A
Amiga-A1012-PCB_Amiga-A1012,Yes,1666.327782,29,124.29,Yes,1586.715259640131,64,26.0,No,,,,Yes,1980.0856845591793,62,N/A
