PCB names,FreeRouting,,,,PcbRouter,,,,RL-MCTS,,,,Original solution,,,
,Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second)
1-Wire-Wing-pcb_1-Wire_Wing,Yes,507.5431282,2,10.21,,,,,,,,,,,,
16x12-bits-I2C_I2C_Servo,Yes,1063.7861003568873,6,43.43,,,,,,,,,,,,
1Bitsy_1bitsy,No,,,,No,,,,No,,,,Yes,1093.765,65,N/A
2d_conduction_sk9822-matrix,Yes,2994.5414975895287,1,2441.3,,,,,,,,,,,,
4-port-usb-hub_4port-usb-hub,Yes,1094.1131777271958,7,67.49,,,,,,,,,,,,
4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,Yes,207.7658408,0,1.01,,,,,,,,,,,,
4_digit_hex_display_4_digit_display,No,,,,,,,,,,,,,,,
59pct_keyboard,Yes,7552.6877229077145,48,534.38,,,,,,,,,,,,
655_testboard,Yes,958.0805754,14,107.81,,,,,,,,,,,,
6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,Yes,265.0459636403393,0,1.85,,,,,,,,,,,,
6volt-5W-solar-cc_6vleadacidsolar,Yes,874.2178673,5,98.86,,,,,,,,,,,,
74Logic_SA_ADC_SA-ADC,No,,,,,,,,,,,,,,,
8088_sbc2_pcb_8088_sbc2,Yes,8768.090036897935,41,71.44,,,,,,,,,,,,
96boards-robomezzi_96boards-robomezzi,No,,,,,,,,,,,,,,,
96boards-sensors_Sensors,Yes,3744.8659,72,1725.99,,,,,,,,,,,,
ABOVISP_ABOVISP,Yes,211.8013799,1,4.69,,,,,,,,,,,,
ADC-DAC-16bit_ADC-DAC-16bit,Yes,221.9284108,2,6.1,,,,,,,,,,,,
ADC-PCM4202-SE_ADC-PCM4202-SE,Yes,2753.2885920423355,8,805.24,,,,,,,,,,,,
ADC-PCM4202_ADC-PCM4202,Yes,2758.5702973006355,18,1566.94,,,,,,,,,,,,
APC_AtariPunkConsole,Yes,460.6638401,0,2.93,,,,,,,,,,,,
APM-RPi-Shield_APM-RPi-Shield,No,,,,,,,,,,,,,,,
AS5043-Encoder_sensor-board,Yes,257.6348674,1,4.41,,,,,,,,,,,,
ATMEGA328-Motor-Board_ATMEGA328_Motor_Board,No,,,,,,,,,,,,,,,
ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,Yes,1121.4884505217055,1,6.380000000000001,,,,,,,,,,,,
ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,Yes,6731.124614376425,17,910.63,,,,,,,,,,,,
ATtiny461Breakout_ATTiny461DevBoard,Yes,324.3120357,0,2.89,,,,,,,,,,,,
AVR-ISP_level-shifter_AVR-ISP_level-shifter,Yes,361.2467224645671,0,3.25,,,,,,,,,,,,
AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,Yes,53.10307677,0,1.58,,,,,,,,,,,,
AVR-Playground_hello_world,Yes,134.5766351,0,0.55,,,,,,,,,,,,
AVR-ZIF-Programmer_AVR-ZIF-Prog,Yes,1506.451377,0,20.67,,,,,,,,,,,,
Aleste-520EX_aleste,No,,,,,,,,,,,,,,,
Amiga-A1012-PCB_Amiga-A1012,Yes,1666.327782,29,124.29,,,,,,,,,,,,
AmpOne_dev-AmpOne,Yes,2645.392472,19,841.98,,,,,,,,,,,,
AnalogThermometer_AnalogThermometer,Yes,199.4560578,0,5.66,,,,,,,,,,,,
