PCB names,FreeRouting,,,,PcbRouter,,,,RL-MCTS,,,,Original solution,,,
,Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second),Success,wirelength (milimeter),#vias,runtime (second)
1-Wire-Wing-pcb_1-Wire_Wing,Yes,507.5431282,2,10.21,Yes,410.74087248116894,16,17.0,,,,,,,,
16x12-bits-I2C_I2C_Servo,Yes,1063.7861003568873,6,43.43,Yes,964.9359007100254,30,33.0,,,,,,,,
1Bitsy_1bitsy,No,,,,No,,,,No,,,,Yes,1093.765,65,N/A
2d_conduction_sk9822-matrix,Yes,2994.5414975895287,1,2441.3,No,,,,,,,,,,,
4-port-usb-hub_4port-usb-hub,Yes,1094.1131777271958,7,67.49,No,,,,,,,,,,,
4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,Yes,207.7658408,0,1.01,Yes,196.84851979869634,3,1.0,,,,,,,,
4_digit_hex_display_4_digit_display,No,,,,Yes,1315.1738679790842,134,28.0,,,,,,,,
59pct_keyboard,Yes,7552.6877229077145,48,534.38,Yes,7423.048431021867,171,548.0,,,,,,,,
655_testboard,Yes,958.0805754,14,107.81,Yes,894.9874632234312,49,18.0,,,,,,,,
6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,Yes,265.0459636403393,0,1.85,Yes,254.2182993292557,2,1.0,,,,,,,,
6volt-5W-solar-cc_6vleadacidsolar,Yes,874.2178673,5,98.86,Yes,735.0716610572655,41,9.0,,,,,,,,
74Logic_SA_ADC_SA-ADC,No,,,,No,,,,,,,,,,,
8088_sbc2_pcb_8088_sbc2,Yes,8768.090036897935,41,71.44,No,,,,,,,,,,,
96boards-robomezzi_96boards-robomezzi,No,,,,No,,,,,,,,,,,
96boards-sensors_Sensors,Yes,3744.8659,72,1725.99,No,,,,,,,,,,,
ABOVISP_ABOVISP,Yes,211.8013799,1,4.69,Yes,181.40823945689075,11,1.0,,,,,,,,
ADC-DAC-16bit_ADC-DAC-16bit,Yes,221.9284108,2,6.1,No,,,,,,,,,,,
ADC-PCM4202-SE_ADC-PCM4202-SE,Yes,2753.2885920423355,8,805.24,No,,,,,,,,,,,
ADC-PCM4202_ADC-PCM4202,Yes,2758.5702973006355,18,1566.94,No,,,,,,,,,,,
APC_AtariPunkConsole,Yes,460.6638401,0,2.93,No,,,,,,,,,,,
APM-RPi-Shield_APM-RPi-Shield,No,,,,Yes,1305.483079606548,82,88.0,,,,,,,,
AS5043-Encoder_sensor-board,Yes,257.6348674,1,4.41,Yes,230.1907477388669,10,47.0,,,,,,,,
ATMEGA328-Motor-Board_ATMEGA328_Motor_Board,No,,,,No,,,,,,,,,,,
ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,Yes,1121.4884505217055,1,6.380000000000001,Yes,1061.7498980590951,16,10.0,,,,,,,,
ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,Yes,6731.124614376425,17,910.63,Yes,6368.72428370528,178,361.0,,,,,,,,
ATtiny461Breakout_ATTiny461DevBoard,Yes,324.3120357,0,2.89,Yes,290.81689332871656,16,2.0,,,,,,,,
AVR-ISP_level-shifter_AVR-ISP_level-shifter,Yes,361.2467224645671,0,3.25,Yes,352.581508813713,13,2.0,,,,,,,,
AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,Yes,53.10307677,0,1.58,Yes,48.3506168964261,9,0.1,,,,,,,,
AVR-Playground_hello_world,Yes,134.5766351,0,0.55,Yes,134.75971273368054,0,3.0,,,,,,,,
AVR-ZIF-Programmer_AVR-ZIF-Prog,Yes,1506.451377,0,20.67,Yes,1352.3435560383798,18,19.0,,,,,,,,
Aleste-520EX_aleste,No,,,,No,,,,,,,,,,,
Amiga-A1012-PCB_Amiga-A1012,Yes,1666.327782,29,124.29,Yes,1586.715259640131,64,26.0,,,,,,,,
AmpOne_dev-AmpOne,Yes,2645.392472,19,841.98,Yes,2697.259814031024,128,2144.0,,,,,,,,
AnalogThermometer_AnalogThermometer,Yes,199.4560578,0,5.66,Yes,180.2246979354968,8,1.0,,,,,,,,
Apple-M0110-BT_Apple M0110,Yes,4322.7868628373535,1,48.06999999999999,No,,,,,,,,,,,
Arduino-Theremin_arduino-theremin-v1,Yes,628.1463765,0,3.81,Yes,602.6122608010309,5,9.0,,,,,,,,
ArduinoDueClone_ATSAM3X8EA,No,,,,No,,,,,,,,,,,
Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger,Yes,1026.555089,0,9.19,Yes,929.086932732413,15,15.0,,,,,,,,
Aria_Aria,Yes,1565.6291658670452,46,1137.9,No,,,,,,,,,,,
Atmel-ICE-Header-Adapter_ice header adapter pcb,Yes,844.8850252040191,4,32.85,No,,,,,,,,,,,
Atreus_54percent_rev,No,,,,No,,,,,,,,,,,
Avem_Hardware_Avem_demo,Yes,715.6301458,10,61.23,Yes,636.4152776704991,33,120.0,,,,,,,,
AzizLight_AzizLight,Yes,657.8561799,12,42.46,Yes,599.0431078175079,35,4.0,,,,,,,,
BB-PWR-3608_BB-PWR-3608_revA,No,,,,Yes,73.73838976226844,3,0.1,,,,,,,,
BB-PWR-8009_BB-PWR-8009_revA,No,,,,Yes,63.25743649928215,4,0.1,,,,,,,,
BB-PWR-8113_BB-PWR-8113_revA,No,,,,Yes,105.66083932411695,3,2.0,,,,,,,,
BGM111-External-Programmer_BGM111_Programmer,No,,,,Yes,121.2496979457601,3,0.1,,,,,,,,
BITxo_BITxo,Yes,285.4157744,5,6.69,No,,,,,,,,,,,
BLDC-controller_BLDC_controller,No,,,,No,,,,,,,,,,,
BML-Badges_BML-Badges,Yes,450.2625609,0,1.63,Yes,437.99543473304675,2,4.0,,,,,,,,
BML-Badges_BML_01,Yes,331.5663136,0,1.22,Yes,326.87448465269415,2,2.0,,,,,,,,
BMS-bq76940_EvaluationsBoard,Yes,1899.27782,8,122.75,No,,,,,,,,,,,
BUF-DiffToSE-ADAU1966_BUF-DiffToSE-ADAU1966,Yes,2283.549241,7,870.46,Yes,1874.1048603807815,67,46.0,,,,,,,,
Baofeng-Interface_BaofengInterface,Yes,259.3193228883333,0,13.559999999999999,Yes,260.90190317128656,0,1.0,,,,,,,,
Baofeng-Interface_BaofengInterfaceIsolated,No,,,,Yes,632.6330262604948,4,3.0,,,,,,,,
BeaconBuddy_BeaconBuddy,No,,,,No,,,,,,,,,,,
BirdAttractor_BirdAttractor_RevA,Yes,348.7982373,3,3.91,No,,,,,,,,,,,
BirdAttractor_BirdAttractor_RevC,Yes,1076.606783,12,75.2,No,,,,,,,,,,,
BirthdayCakeKeyboard_10Key,Yes,3927.29006,36,1986.58,No,,,,,,,,,,,
Biscay_Blueeye_mcu,Yes,1235.961928,0,44.18,Yes,1083.762778192513,12,6.0,,,,,,,,
Biscay_Blueeye_sipm,Yes,1978.7673082337158,58,772.19,Yes,1692.3594483006643,192,53.0,,,,,,,,
Biscay_Blueeye_sipm-comp,Yes,1638.099786,20,944.88,Yes,1546.8018460022784,99,290.0,,,,,,,,
Biscay_Blueeye_sipm-fpga,Yes,1363.0820945950438,10,375.46999999999997,Yes,1358.0407279800193,98,336.0,,,,,,,,
Blink-Eras_AVR_ISP_Pogo,Yes,96.9460556,0,0.6,Yes,97.08183829280486,0,0.1,,,,,,,,
Blink-Eras_Blink Eras,Yes,247.99039570156543,0,4.609999999999999,No,,,,,,,,,,,
BlueBerry-Zero_blueberry,Yes,718.0272933190538,6,100.58,No,,,,,,,,,,,
Board-RZA1L_BoardRZA1,No,,,,No,,,,,,,,,,,
Box0-hv-analog-breakoutboard_breakout,No,,,,No,,,,,,,,,,,
BrushlessESC_esc,Yes,1539.307508,35,874.08,No,,,,,,,,,,,
