Name,Width,Height,Area,#Layers,#Nets,#Pads,Net density,Pad density
1Bitsy_1bitsy,40.7,20.4,830.28,4,63,223,0.018969504263622,0.067146023028376
JavierIH_kameshield,31.75,67.945,2157.25375,2,10,39,0.002317761644869,0.009039270414989
LibreSolar_MPPT_charger_20A,114.5,61,6984.5,2,102,482,0.007301882740354,0.034504975302456
Ttl_wlan_radar,54.99,24.96,1372.5504,4,75,376,0.013660700546953,0.068485645408722
bishboria_ErgoDox,182.83682,158.87192,29047.6366400944,2,65,545,0.001118851781392,0.009381141859365
bobc_LCD-panel-adapter-lvc,40.64,48.26,1961.2864,2,25,66,0.006373368009894,0.01682569154612
bobc_MS-F100,50.8,17.78,903.224,2,52,164,0.028785771857258,0.090785895857506
bobc_control_panel,91.00058,72.9996,6643.005939768,2,27,117,0.0020322125439,0.008806254356901
bobc_led_clock,100,50,5000,2,37,187,0.0037,0.0187
bobc_matrix_clock,100,98,9800,2,95,280,0.00484693877551,0.014285714285714
bobc_mbeduinopresso,100,87,8700,2,77,228,0.004425287356322,0.013103448275862
cnlohr_wiflier,37.75,21.5,811.625,2,38,185,0.023409825966425,0.113968889573387
cnlohr_wiflier_B,37.75,21.5,811.625,2,40,198,0.024641922069922,0.121977514246111
devttys0_IRis,31.2987370991227,31.2987370991227,979.610944,2,15,67,0.007656100665205,0.034197249637914
hamityanik_ULP-Weather-Logger,38.4999990000003,68.9999980000003,2656.49985400004,2,27,206,0.005081874926389,0.038772823512453
hwstar_ac-power-monitor,100,50,5000,2,35,142,0.0035,0.0142
jadonk_PocketBone,75,55,4125,4,74,276,0.004484848484848,0.016727272727273
kitspace_120-channel-pogo-pin-board,183.4495,73.25,13437.675875,4,130,284,0.002418572995979,0.005283651775832
kitspace_120-channel-test-board,76.0062,50.7872,3860.14208064,2,125,374,0.016191113874658,0.048443812712976
kitspace_12V5A_breakout,48.5,45.5,2206.75,2,3,25,0.000679732638496,0.005664438654129
kitspace_12_24_boost_converter,45.5,48.5,2206.75,2,10,41,0.002265775461652,0.009289679392772
kitspace_40-channel-hv-switching-board,84,92,7728,4,194,798,0.006275879917184,0.025815217391304
kitspace_4_switch_array,45.5,48.5,2206.75,2,14,38,0.003172085646312,0.008609946754277
kitspace_8_switch_array,45.5,71,3230.5,2,31,85,0.004798018882526,0.013155858226281
kitspace_Arduino_uno_sheild,68.58,53.2765,3653.70237,2,30,78,0.004105424711975,0.010674104251135
kitspace_BQ25570_Harvester,18.5444414051394,26.0371890046509,482.845125851289,2,13,67,0.013461873491091,0.069380424915623
kitspace_BalthazarKeyboard3-keycaps,290.576,127,36903.152,4,117,436,0.000792615221594,0.002953677236026
kitspace_Brk40p,21.59,54.483,1176.28797,2,41,82,0.017427705224257,0.034855410448515
kitspace_CA3306E,65,30,1950,2,19,64,0.004871794871795,0.016410256410256
kitspace_CH330,10,10,100,2,9,33,0.045,0.165
kitspace_CO2,29.21,51.43011,1502.2735131,2,26,116,0.008653550692759,0.038608149244617
